DATE,Oita,Saiki,Hita,Bugotakada,Nakatsu,Taketa,Kamae,Usuki,Kitsuki,Kusu
2023-6-30 1:00,0,0,0.5,0,0,0,0,0,0.5,0
2023-6-30 2:00,0,0,5,0,2,0,0,0,0,0.5
2023-6-30 3:00,0,0,13.5,1.5,8.5,0,0,0,1,1.5
2023-6-30 4:00,0,0,1.5,7.5,5,0,0,0,1,5.5
2023-6-30 5:00,1,0,20,3,6,0,0,0,2,0.5
2023-6-30 6:00,0,0,3.5,25,8.5,0,0,0,1.5,14.5
2023-6-30 7:00,3.5,0,0,0.5,1.5,0.5,0,0,38.5,21
2023-6-30 8:00,2.5,4,8.5,13.5,1,6,0.5,4,27.5,3
2023-6-30 9:00,7.5,1.5,1,5,1.5,5.5,0.5,4.5,20,13
2023-6-30 10:00,15,1.5,6.5,2,13,2.5,2,1.5,8,1.5
2023-6-30 11:00,18,0.5,8,28.5,10,7.5,1.5,0.5,2.5,9
2023-6-30 12:00,4,0,4,24.5,7.5,14,0,1.5,10.5,3
2023-6-30 13:00,11.5,0,8.5,2.5,43.5,3,0,2.5,6.5,1
2023-6-30 14:00,15,0.5,6,9.5,13,6.5,2.5,2.5,4.5,11
2023-6-30 15:00,17,0.5,4.5,4.5,2.5,21,2,8,9,8.5
2023-6-30 16:00,6,1,13,2.5,7.5,10.5,1.5,12.5,9,7
2023-6-30 17:00,16,0,7,9,4.5,12.5,0.5,5,6.5,23.5
2023-6-30 18:00,22.5,9,5.5,7,10.5,5.5,0,9,7,6.5
2023-6-30 19:00,8,6,5.5,8,16,0.5,5.5,3,4,16
2023-6-30 20:00,8,1.5,8.5,4,4,0,6,0,11.5,21.5
2023-6-30 21:00,24.5,3,3.5,7.5,12.5,0,2,1,13,3
2023-6-30 22:00,4,1,0.5,0,0.5,0,1.5,0.5,0.5,5.5
2023-6-30 23:00,2.5,3.5,0.5,0,0,0.5,0,0.5,4,6.5
2023-7-1 0:00,1,0.5,0.5,0,0,3,0,0,2,8.5
2023-7-1 1:00,2,3,0.5,0,0,2.5,0,1.5,2,1
2023-7-1 2:00,2,0.5,0.5,11,11.5,2,0,0.5,1,4
2023-7-1 3:00,0,0,1,12.5,9.5,0,0,0,2.5,0.5
2023-7-1 4:00,8,0,0,0.5,0,1,0,0,0,4
2023-7-1 5:00,6,0,26.5,8.5,33.5,0.5,1,0,1.5,0
2023-7-1 6:00,0.5,0.5,16.5,24.5,9.5,6,0,4,17.5,18.5
2023-7-1 7:00,19,0,14.5,3,3.5,3,0,15,14.5,19
2023-7-1 8:00,2,27.5,8,2,1.5,10,3,7.5,2.5,10
2023-7-1 9:00,3.5,6.5,5,1.5,1.5,1,10,3,3,2.5
2023-7-1 10:00,3,1.5,1.5,1.5,2,5.5,1,1.5,1,3.5
2023-7-1 11:00,2,6,0.5,1,0,2,8.5,3,2,1.5
2023-7-1 12:00,0.5,2,4,1,0.5,2,3.5,1.5,1.5,2.5
2023-7-1 13:00,3,1.5,0.5,0,0,2.5,0.5,3,0.5,0
2023-7-1 14:00,0.5,1.5,0,0,0,2,0.5,1.5,0.5,0
2023-7-1 15:00,0,0,0,0,0,0,0,0,0,0
2023-7-1 16:00,0,0,0,0,0,0,0,0,0,0
2023-7-1 17:00,0,0,0,3,3,0,0,0,0,0
2023-7-1 18:00,0,0,0,17,4.5,0,0,0,1.5,0
2023-7-1 19:00,0,0,0,0.5,0,0,0,0,3,0
2023-7-1 20:00,1.5,0,0,0,0,0,0,0.5,4,0
2023-7-1 21:00,0.5,0,0,0,0,0,0,0.5,0,0
2023-7-1 22:00,0,0,0,0,0,0,0,0,0,0
2023-7-1 23:00,0,0,0,0,0,0,0,0,0,0
2023-7-2 0:00,0,0,0,0,0,0,0,0,0,0
