NAME,DATE,TAVG,TMAX,TMIN,PRCP,HAVG
bungotakada city,2024-1-1,8.9,11.9,4.1,0,73
bungotakada city,2024-1-2,7.1,14.8,2,0,79
bungotakada city,2024-1-3,8.1,10.3,5,4,84
bungotakada city,2024-1-4,6.4,11.3,1.7,3,75
bungotakada city,2024-1-5,7.6,14.8,-0.5,0,71
bungotakada city,2024-1-6,9,11.9,1.4,0.5,75
bungotakada city,2024-1-7,5.7,8.9,0.8,0,68
bungotakada city,2024-1-8,3.8,8.5,-0.9,0,58
bungotakada city,2024-1-9,5.7,13.1,-1.7,0,70
bungotakada city,2024-1-10,7.9,10.6,5.5,1.5,85
bungotakada city,2024-1-11,6.2,12.6,0.4,0,79
bungotakada city,2024-1-12,7.8,12.5,1.9,0,76
bungotakada city,2024-1-13,7.1,10.9,1.2,0,66
bungotakada city,2024-1-14,5.8,11.6,0,0,76
bungotakada city,2024-1-15,9.7,12.9,6.6,1.5,72
bungotakada city,2024-1-16,7.1,10.9,1.9,0,63
bungotakada city,2024-1-17,6.5,12.5,-0.7,0,82
bungotakada city,2024-1-18,12,19.6,7.6,4.5,86
bungotakada city,2024-1-19,10.2,12,9,4,95
bungotakada city,2024-1-20,9.5,10.4,8.4,5.5,95
bungotakada city,2024-1-21,10.4,12.6,6.5,10,83
bungotakada city,2024-1-22,5.5,9.1,2.5,0,78
bungotakada city,2024-1-23,1.6,4,-0.8,0,73
bungotakada city,2024-1-24,1.1,4.3,-1.8,0,74
bungotakada city,2024-1-25,3,5.6,1.3,0,63
bungotakada city,2024-1-26,3.8,8.5,-2.7,0,68
bungotakada city,2024-1-27,4.5,8.9,-1.6,0,80
bungotakada city,2024-1-28,4.3,10.2,-0.7,0,84
bungotakada city,2024-1-29,4.6,11.7,-1.1,0,72
bungotakada city,2024-1-30,6,11.1,0.1,0,81
bungotakada city,2024-1-31,7.8,9.2,5.5,7,95
bungotakada city,2024-2-1,9.5,10.7,8.6,3.5,95
bungotakada city,2024-2-2,7,10.7,3.1,0.5,85
bungotakada city,2024-2-3,4.5,6.5,0.5,10.5,90
bungotakada city,2024-2-4,7.1,9.4,5,2,92
bungotakada city,2024-2-5,7.8,10,6.7,27,91
bungotakada city,2024-2-6,6.8,10.5,1.6,0,81
bungotakada city,2024-2-7,6.3,8.7,1.5,0.5,84
bungotakada city,2024-2-8,5.3,11.6,0.9,0,78
bungotakada city,2024-2-9,5,12.3,-0.1,0,76
bungotakada city,2024-2-10,6.6,9.8,1,0,65
bungotakada city,2024-2-11,6.5,10.1,0.2,0,65
bungotakada city,2024-2-12,7.5,12.4,2.9,0,59
bungotakada city,2024-2-13,7.3,14.7,-0.7,0,72
bungotakada city,2024-2-14,10.2,14.6,5.8,0,83
bungotakada city,2024-2-15,12,16.8,9.3,0,88
bungotakada city,2024-2-16,8,10.9,2.2,0,71
bungotakada city,2024-2-17,5.9,12.8,-0.3,0,77
bungotakada city,2024-2-18,10.7,20.7,-0.1,0,74
bungotakada city,2024-2-19,16.7,21.9,12.6,15.5,83
bungotakada city,2024-2-20,13.6,16,11.3,0,95
bungotakada city,2024-2-21,12,13.2,10.9,21.5,97
bungotakada city,2024-2-22,9.3,10.9,8,11.5,95
bungotakada city,2024-2-23,8,10.3,6.2,3,82
bungotakada city,2024-2-24,6.7,11.6,3.6,0.5,68
