NAME,DATE,TAVG,TMAX,TMIN,PRCP,HAVG
Hita city,2024-1-1,6.6,11.8,1.6,0,89
Hita city,2024-1-2,6,15.2,-0.3,0,82
Hita city,2024-1-3,6.3,8.8,3.9,6,92
Hita city,2024-1-4,5.1,11.5,1.1,1,85
Hita city,2024-1-5,4.8,14.3,-1.8,0,87
Hita city,2024-1-6,6.8,12.9,2.1,1.5,91
Hita city,2024-1-7,3.6,9,-0.4,0,75
Hita city,2024-1-8,2.5,9.6,-2.9,0,73
Hita city,2024-1-9,4.4,13.1,-2.9,0,79
Hita city,2024-1-10,6.3,10.5,4.3,3,93
Hita city,2024-1-11,6.9,13.3,2.9,0,84
Hita city,2024-1-12,7.5,13.2,4,0,81
Hita city,2024-1-13,5.1,13.3,0.8,0,78
Hita city,2024-1-14,5.1,15.1,-2.3,0,71
Hita city,2024-1-15,6.8,12.7,2,3.5,79
Hita city,2024-1-16,4.3,12.4,-1,0,77
Hita city,2024-1-17,6.7,16.3,-1.1,0,80
Hita city,2024-1-18,11.2,16.6,6.8,2.5,93
Hita city,2024-1-19,11.3,12.6,9.7,4,90
Hita city,2024-1-20,10.7,13,9.3,7.5,87
Hita city,2024-1-21,9.9,13.2,5.2,13,88
Hita city,2024-1-22,3.6,6.2,1.5,1,85
Hita city,2024-1-23,0.6,3.4,-1.5,3.5,75
Hita city,2024-1-24,0.3,3.1,-2.2,0.5,75
Hita city,2024-1-25,1.6,7.1,-1.8,0,73
Hita city,2024-1-26,1.9,9.8,-4.1,0,77
Hita city,2024-1-27,2.4,11.1,-3.5,0,82
Hita city,2024-1-28,3.2,8,0.6,0.5,92
Hita city,2024-1-29,3.5,11.9,-1.2,0,83
Hita city,2024-1-30,4.6,11.7,-2,0,77
Hita city,2024-1-31,9,13.6,5.3,6,96
Hita city,2024-2-1,10.4,11.7,8.9,4,95
Hita city,2024-2-2,7.7,10.6,3.2,0,84
Hita city,2024-2-3,4.9,7.2,2.5,8.5,87
Hita city,2024-2-4,7.9,11,5.4,2,87
