NAME,DATE,TAVG,TMAX,TMIN,PRCP,HAVG
Oita city,2024-1-1,9.9,13.6,5.1,0,64
Oita city,2024-1-2,7.8,14.7,2.3,0,72
Oita city,2024-1-3,8.3,11.5,5.5,2,80
Oita city,2024-1-4,8.4,13,3.7,0,61
Oita city,2024-1-5,7.2,14.8,0.4,0,61
Oita city,2024-1-6,10.1,14.4,5.6,0,67
Oita city,2024-1-7,7.1,11.1,3.6,0,53
Oita city,2024-1-8,5.4,8.6,2.2,0,52
Oita city,2024-1-9,6.4,13.3,-0.1,0,66
Oita city,2024-1-10,8.6,11.6,5.3,0,75
Oita city,2024-1-11,9.4,13.5,6,0,61
Oita city,2024-1-12,10.1,15.9,3.7,0,58
Oita city,2024-1-13,9.4,13.3,6.5,0,55
Oita city,2024-1-14,6.2,11.9,0.7,0,71
Oita city,2024-1-15,9.6,13.5,4.4,0,68
Oita city,2024-1-16,8.5,11.9,3.6,0,55
Oita city,2024-1-17,7.6,13.4,1.1,0,71
Oita city,2024-1-18,12.2,16.9,7.3,3.5,84
Oita city,2024-1-19,11.7,13.7,10.5,2,90
Oita city,2024-1-20,10.4,11.2,9.8,3,92
Oita city,2024-1-21,11.4,13.7,9.2,4,80
Oita city,2024-1-22,7.1,12.1,3.5,0,67
Oita city,2024-1-23,2.7,6.2,0.3,0,55
Oita city,2024-1-24,2.6,6.5,-0.8,0,55
Oita city,2024-1-25,4.7,8.6,2.1,0,50
Oita city,2024-1-26,5.4,11.4,-0.6,0,60
Oita city,2024-1-27,5.7,12.9,-0.4,0,68
Oita city,2024-1-28,6.2,11.9,2.7,0,70
Oita city,2024-1-29,5.6,12,0.1,0,66
Oita city,2024-1-30,6.6,10.7,1.3,0,74
Oita city,2024-1-31,9.1,11.2,6.7,4,95
Oita city,2024-2-1,11.2,12.8,9.6,1,88
Oita city,2024-2-2,8.1,10,4.9,0,76
Oita city,2024-2-3,6.2,8.2,3.9,18,81
Oita city,2024-2-4,7.5,8.8,5.7,2,94
Oita city,2024-2-5,8.7,10.8,7.3,30.5,93
Oita city,2024-2-6,8.6,12.7,3.1,0,70
Oita city,2024-2-7,7.5,10.1,4.1,0,76
Oita city,2024-2-8,5.8,10.4,1.2,0,74
Oita city,2024-2-9,6.6,11.5,2.8,0,70
Oita city,2024-2-10,7,12,3,0,62
Oita city,2024-2-11,8.4,14.1,2,0,49
Oita city,2024-2-12,8.9,12.8,4.4,0,53
Oita city,2024-2-13,8.2,15.9,1,0,69
Oita city,2024-2-14,11.1,17.7,5.1,0,81
Oita city,2024-2-15,14.5,21.6,10.7,0.5,80
Oita city,2024-2-16,9.1,12.6,5.3,0,64
Oita city,2024-2-17,7.1,12.3,2.2,0,73
Oita city,2024-2-18,11.2,19,2.8,0,73
Oita city,2024-2-19,17.3,20.4,14.6,12.5,86
Oita city,2024-2-20,15.1,18.2,11.7,0,92
Oita city,2024-2-21,13,15.2,12.3,35,98
Oita city,2024-2-22,10.5,12.6,8.8,12.5,90
Oita city,2024-2-23,8.8,11.2,7.3,1,78
Oita city,2024-2-24,7.2,9.8,5.6,1.5,64
Oita city,2024-2-25,9,13.8,5.9,14,82
Oita city,2024-2-26,9.9,14.4,7.3,0,68
Oita city,2024-2-27,7.9,10.8,6.2,0,55
Oita city,2024-2-28,7.1,10.9,2.1,0,63
Oita city,2024-2-29,8.2,10,6.4,27,90
Oita city,2024-3-1,9.4,14.2,5.5,0,62
Oita city,2024-3-2,4.8,8.6,0.5,0,55
Oita city,2024-3-3,6.2,13.4,-1.4,0,58
Oita city,2024-3-4,9.5,15.4,3.5,1,65
Oita city,2024-3-5,9.9,10.8,8.6,38,99
Oita city,2024-3-6,10.1,12.5,8.5,0,76
Oita city,2024-3-7,9.2,12.9,7,0,61
Oita city,2024-3-8,8.8,12.1,6.9,0,54
Oita city,2024-3-9,8.3,12.1,6.3,0,52
Oita city,2024-3-10,6.7,11.5,1.9,0,59
Oita city,2024-3-11,9.2,16.8,1.2,4,75
Oita city,2024-3-12,10.8,14.5,8.3,13.5,81
Oita city,2024-3-13,10.5,15.1,7,0,58
